interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
3,1/26/2019,23:44:00,Female,20,Sophomore,Rest of World,2,Female,20,Sophomore,Rest of World,Close friend,More than once a week,Female,20,Sophomore,Rest of World,Close friend,More than once a week,Female,20,Sophomore,Rest of World,Close friend,Once a year,Male,50,Other,Rest of World,Close friend,Once a year,Female,20,Sophomore,Rest of World,Close friend,Once a year
3,1/27/2019,07:57:00,Female,20,Junior,Rest of California,5,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,19,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week
1,1/24/2019,11:00:00,Female,20,Junior,Rest of World,5,Male,32,Senior,Rest of California,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,Once a month,Female,49,Other,Rest of United States,Close friend,Once a year,Female,21,Junior,LA Area,Friend,Once a month,Female,21,Senior,Rest of United States,Friend,Once a month
2,1/25/2019,14:40:00,Female,26,Other,LA Area,5,Male,26,Other,LA Area,Friend,More than once a week,Male,35,Other,Bay Area,Close friend,More than once a week,Female,26,Other,LA Area,Close friend,Once a month,Male,26,Other,LA Area,Friend,More than once a week,Female,25,Other,Bay Area,Friend,Once a month
3,1/25/2019,17:00:00,Female,21,Junior,LA Area,5,Female,27,Other,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,54,Other,Rest of World,Close friend,More than once a week,Female,22,Other,LA Area,Friend,More than once a week
1,1/24/2019,10:36:00,Male,20,Junior,Bay Area,5,Female,49,Other,Bay Area,Close friend,Once a week,Male,20,Junior,Bay Area,Friend,Once a month,Male,20,Junior,LA Area,Friend,Once a week,Male,20,Junior,Bay Area,Friend,Once a week,Male,20,Junior,Bay Area,Friend,Once a month
2,1/27/2019,17:16:00,Male,21,Junior,LA Area,5,Female,19,Junior,LA Area,Close friend,More than once a week,Female,22,Senior,Bay Area,Friend,Once a week,Female,45,Other,LA Area,Close friend,Once a month,Female,23,Other,LA Area,Close friend,Once a month,Female,20,Junior,LA Area,Friend,Once a month
3,1/27/2019,17:30:00,Male,19,Junior,Bay Area,4,Male,19,Junior,Bay Area,Close friend,More than once a week,Male,60,Other,Rest of World,Close friend,Once a month,Female,60,Other,Rest of World,Close friend,Once a month,Male,21,Junior,LA Area,Friend,More than once a week,NA,NA,NA,NA,NA,NA
1,1/24/2019,10:40:00,Male,29,Other,LA Area,5,Male,28,Other,Bay Area,Friend,Once a month,Male,45,Other,Bay Area,Friend,Once a week,Female,27,Other,LA Area,Close friend,Rarely,Male,30,Other,LA Area,Close friend,Rarely,Female,26,Other,Rest of United States,Close friend,More than once a week
2,1/24/2019,18:30:00,Female,21,Senior,Bay Area,5,Male,22,Other,Rest of California,Close friend,More than once a week,Female,26,Other,Bay Area,Close friend,More than once a week,Female,22,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a week,Female,22,Other,Rest of United States,Close friend,More than once a week
3,1/25/2019,23:15:00,Male,33,Junior,Rest of California,5,Female,20,Junior,Rest of World,Close friend,More than once a week,Male,35,Other,Rest of World,Close friend,More than once a week,Female,66,Other,Rest of World,Close friend,Once a week,Male,34,Other,Rest of World,Close friend,More than once a week,Female,21,Senior,Rest of World,Friend,Once a month
1,1/24/2019,10:39:00,Female,20,Senior,Bay Area,5,Female,23,Other,Bay Area,Close friend,More than once a week,Female,21,Senior,LA Area,Friend,More than once a week,Female,20,Senior,LA Area,Friend,Once a week,Female,20,Other,Bay Area,Friend,Once a week,Male,20,Other,Bay Area,Friend,Once a week
2,1/27/2019,17:27:00,Female,19,Sophomore,Bay Area,5,Male,27,Other,Bay Area,Friend,Once a week,Female,18,Freshman,Bay Area,Close friend,Once a month,Male,19,Sophomore,Bay Area,Close friend,More than once a week,Female,23,Other,Bay Area,Close friend,More than once a week,Male,25,Other,Bay Area,Friend,Once a week
3,1/27/2019,22:10:00,Female,21,Senior,Bay Area,5,Female,23,Other,Bay Area,Close friend,Once a week,Female,21,Senior,Bay Area,Friend,More than once a week,Female,21,Senior,LA Area,Friend,More than once a week,Male,21,Senior,Bay Area,Friend,More than once a week,Male,21,Senior,Bay Area,Close friend,Once a week
1,1/24/2019,10:43:00,Female,25,Other,Rest of World,5,Female,22,Other,Rest of World,Close friend,More than once a week,Male,25,Other,Rest of World,Close friend,Once a month,Male,25,Other,Rest of United States,Friend,More than once a week,Female,30,Other,Rest of California,Close friend,More than once a week,Female,23,Other,Rest of World,Close friend,More than once a week
2,1/27/2019,17:14:00,Female,21,Senior,Bay Area,4,Female,21,Senior,LA Area,Close friend,More than once a week,Female,21,Other,Rest of California,Close friend,More than once a week,Female,24,Other,Bay Area,Close friend,Once a week,Female,20,Sophomore,Bay Area,Close friend,Once a month,NA,NA,NA,NA,NA,NA
3,1/27/2019,20:42:00,Male,22,Other,Rest of California,5,Female,21,Senior,LA Area,Close friend,More than once a week,Male,20,Junior,Rest of United States,Friend,More than once a week,Male,18,Freshman,Rest of California,Close friend,Once a week,Female,55,Other,Rest of California,Close friend,Once a week,Male,24,Other,LA Area,Close friend,Once a month
3,1/24/2019,10:42:00,Female,20,Junior,LA Area,5,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,30,Other,LA Area,Close friend,More than once a week
3,1/24/2019,11:52:00,Male,22,Senior,Rest of World,5,Male,23,Senior,Rest of World,Friend,More than once a week,Male,25,Other,Rest of World,Friend,Once a week,Male,32,Other,Rest of World,Friend,Once a week,Female,25,Other,Rest of World,Friend,Once a week,Male,25,Other,Rest of World,Friend,More than once a week
3,1/24/2019,18:44:00,Female,23,Other,Rest of World,5,Female,25,Other,Rest of World,Close friend,More than once a week,Female,23,Other,Rest of World,Close friend,More than once a week,Female,24,Other,Rest of World,Close friend,Once a month,Female,25,Other,Rest of World,Close friend,Once a month,Female,26,Other,Rest of World,Close friend,Once a week
3,1/28/2019,13:43:00,Female,22,Senior,Rest of World,5,Female,22,Senior,Bay Area,Friend,Once a week,Female,22,Senior,LA Area,Friend,Once a week,Female,22,Senior,Bay Area,Friend,Once a week,Female,21,Senior,Rest of World,Friend,Once a week,Female,22,Senior,Rest of World,Friend,Once a week
1,1/24/2019,10:40:00,Female,20,Junior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Rest of California,Friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week
2,1/28/2019,14:30:00,Female,21,Senior,Rest of California,5,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Senior,Rest of California,Close friend,More than once a week,Male,22,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,22,Senior,LA Area,Close friend,More than once a week
3,1/28/2019,14:36:00,Female,20,Junior,Bay Area,5,Female,19,Sophomore,Rest of World,Close friend,More than once a week,Female,21,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Friend,More than once a week,Female,20,Junior,Bay Area,Friend,Once a week,Female,21,Senior,Rest of California,Close friend,Once a week
1,1/28/2019,14:10:00,Male,21,Junior,Rest of United States,6+,Female,20,Junior,Bay Area,Close friend,More than once a week,Male,21,Junior,Rest of United States,Friend,More than once a week,Male,20,Junior,Rest of California,Friend,More than once a week,Male,20,Junior,Rest of World,Friend,More than once a week,Male,21,Junior,Rest of California,Friend,More than once a week
2,1/28/2019,15:20:00,Female,20,Junior,Bay Area,3,Male,23,Other,Bay Area,Close friend,Once a month,Female,20,Junior,Bay Area,Friend,More than once a week,Female,20,Junior,LA Area,Friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1/28/2019,15:20:00,Female,20,Junior,LA Area,5,Female,20,Junior,LA Area,Friend,More than once a week,Female,20,Junior,LA Area,Friend,More than once a week,Female,21,Junior,Rest of United States,Friend,More than once a week,Female,21,Junior,LA Area,Friend,More than once a week,Female,21,Junior,Bay Area,Friend,More than once a week
